screen,screenshot,screenshot_sha256,asset_count,guide
01_DesktopTrainingWorkbench_Default,01_DesktopTrainingWorkbench_Default/01_Runtime_Screenshot/DesktopTrainingWorkbench_Default_Runtime.png,1b98503d1ff0ea91308b7f196c2c62aa28566aec87c4b03fcf36ab22c5ecee5b,38,01_DesktopTrainingWorkbench_Default/03_Annotation_Guide/Guide_DesktopTrainingWorkbench_Default.png
02_DesktopWorkbench_Collapsed,02_DesktopWorkbench_Collapsed/01_Runtime_Screenshot/02_DesktopWorkbench_Collapsed_Runtime.png,fc525e83c6091cb133ca51ca995c6dbfcae6cb7452b447a2843bd0178d4bc4c6,80,02_DesktopWorkbench_Collapsed/03_Annotation_Guide/Guide_02_DesktopWorkbench_Collapsed.png
03_DesktopWorkbench_Warehouse,03_DesktopWorkbench_Warehouse/01_Runtime_Screenshot/03_DesktopWorkbench_Warehouse_Runtime.png,8a5a39391ac9d2361870c5722b5a64ee5aa3803abb163f4e87807ffbc134f484,39,03_DesktopWorkbench_Warehouse/03_Annotation_Guide/Guide_03_DesktopWorkbench_Warehouse.png
04_DesktopWorkbench_Formation,04_DesktopWorkbench_Formation/01_Runtime_Screenshot/04_DesktopWorkbench_Formation_Runtime.png,e42ff995e20b316f1354d75e19e98be14ec4c54f51a22d2ca6a0e50aea9eec31,54,04_DesktopWorkbench_Formation/03_Annotation_Guide/Guide_04_DesktopWorkbench_Formation.png
05_DesktopWorkbench_Talents,05_DesktopWorkbench_Talents/01_Runtime_Screenshot/05_DesktopWorkbench_Talents_Runtime.png,681ca1766ed697366530c63cdb87f4d41248d530483729ce9f47124c8d1e0724,50,05_DesktopWorkbench_Talents/03_Annotation_Guide/Guide_05_DesktopWorkbench_Talents.png
06_DesktopWorkbench_Tools,06_DesktopWorkbench_Tools/01_Runtime_Screenshot/06_DesktopWorkbench_Tools_Runtime.png,4029c5821188f72de8e0e57362e18b92c2ccf916929d3b04ead6b918e91c3cc1,40,06_DesktopWorkbench_Tools/03_Annotation_Guide/Guide_06_DesktopWorkbench_Tools.png
07_DesktopWorkbench_TrainingMap,07_DesktopWorkbench_TrainingMap/01_Runtime_Screenshot/07_DesktopWorkbench_TrainingMap_Runtime.png,2dc1c228427fe8666c7ab2eee8ecf0014ba6fcca31de1d66df5f0a4c19f5b1dc,42,07_DesktopWorkbench_TrainingMap/03_Annotation_Guide/Guide_07_DesktopWorkbench_TrainingMap.png
08_DesktopWorkbench_Settings,08_DesktopWorkbench_Settings/01_Runtime_Screenshot/08_DesktopWorkbench_Settings_Runtime.png,2573c096112ea952876d394f6c2f8bc03cf3c0ad246967adbfb6fb08346e6f52,38,08_DesktopWorkbench_Settings/03_Annotation_Guide/Guide_08_DesktopWorkbench_Settings.png
09_DesktopWorkbench_ExitConfirm,09_DesktopWorkbench_ExitConfirm/01_Runtime_Screenshot/09_DesktopWorkbench_ExitConfirm_Runtime.png,c7dfd7019174276e31f7d9833e3ea291613c6d423d4d2f1f54f871107982b96e,38,09_DesktopWorkbench_ExitConfirm/03_Annotation_Guide/Guide_09_DesktopWorkbench_ExitConfirm.png
10_ChallengeRouteMap,10_ChallengeRouteMap/01_Runtime_Screenshot/ChallengeRouteMap_Runtime.png,618fcb24466d97d27a759435f3c42c90b33b0d46508c8733b46215e27ef6f5b5,27,10_ChallengeRouteMap/03_Annotation_Guide/Guide_10_ChallengeRouteMap.png
11_BattleBoard,11_BattleBoard/01_Runtime_Screenshot/BattleBoard_Runtime.png,b49c3277521130b3861d10f9cc7b8f29c5a6254aa7a5f32af7c4daa385180121,139,11_BattleBoard/03_Annotation_Guide/Guide_11_BattleBoard.png
12_BattleReward,12_BattleReward/01_Runtime_Screenshot/BattleReward_Runtime.png,fb371ce926095e64eb7a0c197f1926246ffd27c598a0f228000104867f434ba7,170,12_BattleReward/03_Annotation_Guide/Guide_12_BattleReward.png
13_RouteEventChoice,13_RouteEventChoice/01_Runtime_Screenshot/13_RouteEventChoice_Runtime.png,052d0c21f5c65d592afa351272aa10bbb1cf9c0f0b6ffd64f879de81f55320d4,64,13_RouteEventChoice/03_Annotation_Guide/Guide_13_RouteEventChoice.png
14_RouteCamp,14_RouteCamp/01_Runtime_Screenshot/14_RouteCamp_Runtime.png,bb659515849f2fc13df755775652997fa6c135de425563b086afa764a5372124,64,14_RouteCamp/03_Annotation_Guide/Guide_14_RouteCamp.png
15_RouteMerchant,15_RouteMerchant/01_Runtime_Screenshot/15_RouteMerchant_Runtime.png,86cbcd5e502449fe853f10d8668e0814b4b6fdab70fd966bfb542d738823b48c,75,15_RouteMerchant/03_Annotation_Guide/Guide_15_RouteMerchant.png
16_RouteAbandonConfirm,16_RouteAbandonConfirm/01_Runtime_Screenshot/RouteAbandonConfirm_Runtime.png,a1d0c552b6941a014da6d25bab7a5aa84612c5928af813d4cbd6d8927711114e,27,16_RouteAbandonConfirm/03_Annotation_Guide/Guide_16_RouteAbandonConfirm.png
17_BattleRetreatConfirm,17_BattleRetreatConfirm/01_Runtime_Screenshot/BattleRetreatConfirm_Runtime.png,39935969fa08c04db47664029903cdadff7a3de118c523ce84a4e35777ea7d23,139,17_BattleRetreatConfirm/03_Annotation_Guide/Guide_17_BattleRetreatConfirm.png
18_RouteSettlement,18_RouteSettlement/01_Runtime_Screenshot/RouteSettlement_Runtime.png,52441d8a8120f60f98091e938ac2e811d130f26a17650a11cfeeb60f39cdc9ec,27,18_RouteSettlement/03_Annotation_Guide/Guide_18_RouteSettlement.png
