id,seed,stage,encounter,hero,role,npc,omit,enhance,gems,outcome,kind,valid,rounds,damage,dpr,damage_r1,dpr_r3,late_dpr,taken,healing,armor,health,max_health,ledger_difference,energy_spent,mana_spent,unspent_energy,cards_played,automatic,overkill,overheal,error,raw,enemy_direct_hits,enemy_chip_after_defense,enemy_armor_absorbed
hell-Blade-Blade-TusiChief,20260906,Training.Hell.3-1,7,Blade,Blade,TusiChief,3,10,True,victory,baseline,True,17,11176,657.4117647058823,3406,2254.0,315.2857142857143,1108,625,4374,12129,12612,0,37,33,14,43,5,3442,0,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-TusiChief\seed-20260906.json,7,2,115
hell-Blade-Blade-TusiChief,20260907,Training.Hell.3-1,7,Blade,Blade,TusiChief,3,10,True,victory,baseline,True,31,11176,360.51612903225805,3589,1619.6666666666667,225.60714285714286,1124,675,5046,12163,12612,0,54,17,38,70,8,3288,30,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-TusiChief\seed-20260907.json,6,0,40
hell-Blade-Blade-TusiChief,20260908,Training.Hell.3-1,7,Blade,Blade,TusiChief,3,10,True,victory,baseline,True,32,11176,349.25,2772,1777.3333333333333,201.51724137931035,2473,750,4762,10889,12612,0,53,18,41,74,8,3008,0,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-TusiChief\seed-20260908.json,10,1,3
hell-Blade-Blade-TusiChief,20260909,Training.Hell.3-1,7,Blade,Blade,TusiChief,3,10,True,victory,baseline,True,29,11176,385.37931034482756,2772,1765.0,226.19230769230768,1715,825,5592,11722,12612,0,56,24,29,68,8,5013,0,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-TusiChief\seed-20260909.json,9,1,3
hell-Blade-Blade-TusiChief,20260910,Training.Hell.3-1,7,Blade,Blade,TusiChief,3,10,True,victory,baseline,True,18,11366,631.4444444444445,2292,2493.6666666666665,259.0,2913,525,2071,10224,12612,0,37,41,15,39,4,2616,0,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-TusiChief\seed-20260910.json,10,2,4
hell-Blade-Blade-SongJinBao,20260906,Training.Hell.3-1,7,Blade,Blade,SongJinBao,3,10,True,stalemate,baseline,True,8,8284,1035.5,5573,2761.3333333333335,0.0,0,0,0,12435,12435,0,28,22,7,39,6,147,150,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-SongJinBao\seed-20260906.json,0,0,0
hell-Blade-Blade-SongJinBao,20260907,Training.Hell.3-1,7,Blade,Blade,SongJinBao,3,10,True,stalemate,baseline,True,9,5497,610.7777777777778,2659,1832.3333333333333,0.0,172,172,0,12435,12435,0,30,16,9,41,5,682,203,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-SongJinBao\seed-20260907.json,2,1,2
hell-Blade-Blade-SongJinBao,20260908,Training.Hell.3-1,7,Blade,Blade,SongJinBao,3,10,True,stalemate,baseline,True,14,8291,592.2142857142857,4181,1793.3333333333333,264.6363636363636,178,178,0,12435,12435,0,42,35,18,59,5,2376,122,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-SongJinBao\seed-20260908.json,1,0,0
hell-Blade-Blade-SongJinBao,20260909,Training.Hell.3-1,7,Blade,Blade,SongJinBao,3,10,True,victory,baseline,True,23,11176,485.9130434782609,4453,1845.3333333333333,282.0,744,525,0,12216,12435,0,49,30,41,59,5,3762,75,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-SongJinBao\seed-20260909.json,5,1,0
hell-Blade-Blade-SongJinBao,20260910,Training.Hell.3-1,7,Blade,Blade,SongJinBao,3,10,True,victory,baseline,True,15,11176,745.0666666666667,3769,1812.0,478.3333333333333,397,397,0,12435,12435,0,48,44,21,67,8,4927,203,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-SongJinBao\seed-20260910.json,3,2,2
hell-Blade-Blade-YueBai,20260906,Training.Hell.3-1,7,Blade,Blade,YueBai,3,10,True,victory,baseline,True,3,11163,3721.0,5573,3721.0,,0,0,8262,11857,11857,0,9,38,0,16,8,7811,25,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-YueBai\seed-20260906.json,3,1,119
hell-Blade-Blade-YueBai,20260907,Training.Hell.3-1,7,Blade,Blade,YueBai,3,10,True,victory,baseline,True,5,11176,2235.2,6024,2791.3333333333335,1401.0,0,0,11178,11857,11857,0,13,52,1,23,8,8286,0,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-YueBai\seed-20260907.json,3,1,119
hell-Blade-Blade-YueBai,20260908,Training.Hell.3-1,7,Blade,Blade,YueBai,3,10,True,stalemate,baseline,True,21,5490,261.42857142857144,2772,1830.0,0.0,526,526,31590,11857,11857,0,38,87,22,72,14,55,224,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-YueBai\seed-20260908.json,8,1,892
hell-Blade-Blade-YueBai,20260909,Training.Hell.3-1,7,Blade,Blade,YueBai,3,10,True,victory,baseline,True,5,11163,2232.6,2772,1857.6666666666667,2795.0,450,30,6318,11437,11857,0,13,35,0,21,4,1526,75,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-YueBai\seed-20260909.json,3,1,202
hell-Blade-Blade-YueBai,20260910,Training.Hell.3-1,7,Blade,Blade,YueBai,3,10,True,victory,baseline,True,5,11171,2234.2,5573,2759.6666666666665,1446.0,0,0,12150,11857,11857,0,12,48,1,20,12,13117,55,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-YueBai\seed-20260910.json,3,1,119
hell-Blade-Blade-ZhouGuangZu,20260906,Training.Hell.3-1,7,Blade,Blade,ZhouGuangZu,3,10,True,victory,baseline,True,19,11176,588.2105263157895,2411,1802.3333333333333,360.5625,1578,1578,9261,11452,11452,0,39,85,18,60,3,2997,1239,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-ZhouGuangZu\seed-20260906.json,8,1,413
hell-Blade-Blade-ZhouGuangZu,20260907,Training.Hell.3-1,7,Blade,Blade,ZhouGuangZu,3,10,True,stalemate,baseline,True,13,5466,420.46153846153845,1857,1822.0,0.0,716,716,5733,11452,11452,0,24,50,14,43,3,342,1801,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-ZhouGuangZu\seed-20260907.json,5,1,428
hell-Blade-Blade-ZhouGuangZu,20260908,Training.Hell.3-1,7,Blade,Blade,ZhouGuangZu,3,10,True,victory,baseline,True,26,11167,429.5,2772,1854.6666666666667,243.6086956521739,937,844,16317,11359,11452,0,53,111,29,86,6,3554,3107,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-ZhouGuangZu\seed-20260908.json,9,2,345
hell-Blade-Blade-ZhouGuangZu,20260909,Training.Hell.3-1,7,Blade,Blade,ZhouGuangZu,3,10,True,victory,baseline,True,8,11153,1394.125,3591,1603.3333333333333,1268.6,251,122,5292,11323,11452,0,24,58,2,34,1,55,1150,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-ZhouGuangZu\seed-20260909.json,3,0,164
hell-Blade-Blade-ZhouGuangZu,20260910,Training.Hell.3-1,7,Blade,Blade,ZhouGuangZu,3,10,True,victory,baseline,True,16,11176,698.5,1355,1257.3333333333333,569.5384615384615,1453,1453,7938,11452,11452,0,39,86,13,59,2,2259,1582,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-ZhouGuangZu\seed-20260910.json,9,2,249
hell-Blade-Blade-JinGui,20260906,Training.Hell.3-1,7,Blade,Blade,JinGui,0,10,True,victory,baseline,True,28,11366,405.92857142857144,1190,1511.0,273.32,1194,775,8400,11267,11686,0,56,30,28,71,6,5851,0,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-JinGui\seed-20260906.json,11,1,829
hell-Blade-Blade-JinGui,20260907,Training.Hell.3-1,7,Blade,Blade,JinGui,0,10,True,victory,baseline,True,19,11176,588.2105263157895,2268,1857.6666666666667,350.1875,1605,585,7002,10666,11686,0,42,39,16,44,3,3200,0,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-JinGui\seed-20260907.json,9,1,222
hell-Blade-Blade-JinGui,20260908,Training.Hell.3-1,7,Blade,Blade,JinGui,0,10,True,victory,baseline,True,25,11176,447.04,2772,1807.6666666666667,261.5,915,825,6760,11596,11686,0,51,33,26,64,6,4500,0,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-JinGui\seed-20260908.json,7,1,465
hell-Blade-Blade-JinGui,20260909,Training.Hell.3-1,7,Blade,Blade,JinGui,0,10,True,victory,baseline,True,32,11176,349.25,2772,1833.3333333333333,195.72413793103448,1902,975,11668,10759,11686,0,65,24,30,74,6,5561,0,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-JinGui\seed-20260909.json,14,1,951
hell-Blade-Blade-JinGui,20260910,Training.Hell.3-1,7,Blade,Blade,JinGui,0,10,True,victory,baseline,True,35,11176,319.3142857142857,2278,1703.3333333333333,189.5625,1266,1266,10500,11686,11686,0,67,28,39,91,9,7459,84,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-JinGui\seed-20260910.json,13,2,655
hell-Blade-Blade-QiongMeiEr,20260906,Training.Hell.3-1,7,Blade,Blade,QiongMeiEr,3,10,True,victory,baseline,True,6,11155,1859.1666666666667,2192,1851.6666666666667,1866.6666666666667,419,419,0,12145,12145,0,25,46,1,31,1,306,1441,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-QiongMeiEr\seed-20260906.json,3,0,2
hell-Blade-Blade-QiongMeiEr,20260907,Training.Hell.3-1,7,Blade,Blade,QiongMeiEr,3,10,True,victory,baseline,True,15,11150,743.3333333333334,3223,2767.3333333333335,237.33333333333334,202,158,0,12101,12145,0,37,36,25,44,6,3000,532,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-QiongMeiEr\seed-20260907.json,4,0,0
hell-Blade-Blade-QiongMeiEr,20260908,Training.Hell.3-1,7,Blade,Blade,QiongMeiEr,3,10,True,victory,baseline,True,10,11150,1115.0,4062,1755.6666666666667,840.4285714285714,44,44,0,12145,12145,0,30,30,11,39,4,2099,181,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-QiongMeiEr\seed-20260908.json,1,0,0
hell-Blade-Blade-QiongMeiEr,20260909,Training.Hell.3-1,7,Blade,Blade,QiongMeiEr,3,10,True,victory,baseline,True,8,11176,1397.0,4613,1775.3333333333333,1170.0,183,0,0,11962,12145,0,27,39,6,32,2,60,540,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-QiongMeiEr\seed-20260909.json,1,0,0
hell-Blade-Blade-QiongMeiEr,20260910,Training.Hell.3-1,7,Blade,Blade,QiongMeiEr,3,10,True,victory,baseline,True,9,11134,1237.111111111111,2637,1721.6666666666667,994.8333333333334,763,719,0,12101,12145,0,34,54,5,40,1,453,966,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Blade-QiongMeiEr\seed-20260910.json,5,0,2
hell-Blade-Guard-TusiChief,20260906,Training.Hell.3-1,7,Blade,Guard,TusiChief,3,10,True,limit,baseline,False,60,5514,91.9,1190,987.3333333333334,44.771929824561404,2961,1080,135161,10784,12665,0,169,131,11,155,5,4,45,Simulation reached MaxRounds before a terminal result.,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Guard-TusiChief\seed-20260906.json,18,4,648
hell-Blade-Guard-TusiChief,20260907,Training.Hell.3-1,7,Blade,Guard,TusiChief,3,10,True,limit,baseline,False,60,5495,91.58333333333333,3369,1475.6666666666667,18.736842105263158,4113,675,138770,9227,12665,0,173,135,7,144,8,4,0,Simulation reached MaxRounds before a terminal result.,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Guard-TusiChief\seed-20260907.json,19,5,518
hell-Blade-Guard-TusiChief,20260908,Training.Hell.3-1,7,Blade,Guard,TusiChief,3,10,True,limit,baseline,False,60,5618,93.63333333333334,1581,1526.6666666666667,18.210526315789473,3604,900,141881,9961,12665,0,169,122,11,143,10,0,0,Simulation reached MaxRounds before a terminal result.,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Guard-TusiChief\seed-20260908.json,16,3,826
hell-Blade-Guard-TusiChief,20260909,Training.Hell.3-1,7,Blade,Guard,TusiChief,3,10,True,limit,baseline,False,60,5733,95.55,854,1361.0,28.94736842105263,4488,900,139264,9077,12665,0,168,138,12,147,4,763,0,Simulation reached MaxRounds before a terminal result.,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Guard-TusiChief\seed-20260909.json,17,4,6
hell-Blade-Guard-TusiChief,20260910,Training.Hell.3-1,7,Blade,Guard,TusiChief,3,10,True,limit,baseline,False,60,5427,90.45,1190,1332.6666666666667,25.07017543859649,2194,900,134715,11371,12665,0,169,128,11,142,6,4,0,Simulation reached MaxRounds before a terminal result.,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Guard-TusiChief\seed-20260910.json,14,2,55
hell-Blade-Guard-SongJinBao,20260906,Training.Hell.3-1,7,Blade,Guard,SongJinBao,3,10,True,limit,baseline,False,60,5481,91.35,541,1310.0,27.210526315789473,1537,1535,193223,12486,12488,0,248,194,14,235,5,176,340,Simulation reached MaxRounds before a terminal result.,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Guard-SongJinBao\seed-20260906.json,28,19,484
hell-Blade-Guard-SongJinBao,20260907,Training.Hell.3-1,7,Blade,Guard,SongJinBao,3,10,True,stalemate,baseline,True,20,5504,275.2,1700,1476.3333333333333,63.23529411764706,301,301,69610,12488,12488,0,90,73,1,95,9,352,74,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Guard-SongJinBao\seed-20260907.json,5,5,9
hell-Blade-Guard-SongJinBao,20260908,Training.Hell.3-1,7,Blade,Guard,SongJinBao,3,10,True,stalemate,baseline,True,10,5284,528.4,3013,1761.3333333333333,0.0,241,150,32125,12397,12488,0,43,41,0,45,9,353,0,,D:\UE5 demo\GameXXK\Saved\Balance\20260907-final-matrix\hell-Blade-Guard-SongJinBao\seed-20260908.json,3,3,5
