分类,编号,名称,章节,类型,尺寸,图片位置
角色,1,主角,,,1600×1600,01_角色单图/01_主角.png
角色,2,刀客,,,1600×1600,01_角色单图/02_刀客.png
角色,3,守卫,,,1600×1600,01_角色单图/03_守卫.png
角色,4,药师,,,1600×1600,01_角色单图/04_药师.png
角色,5,弓手,,,1600×1600,01_角色单图/05_弓手.png
角色,6,法师,,,1600×1600,01_角色单图/06_法师.png
角色,7,阵师,,,1600×1600,01_角色单图/07_阵师.png
角色,8,土司首领,,,1600×1600,01_角色单图/08_土司首领.png
角色,9,宋金宝,,,1600×1600,01_角色单图/09_宋金宝.png
角色,10,幽白,,,1600×1600,01_角色单图/10_幽白.png
角色,11,周光祖,,,1600×1600,01_角色单图/11_周光祖.png
角色,12,金贵,,,1600×1600,01_角色单图/12_金贵.png
角色,13,琼幺儿,,,1600×1600,01_角色单图/13_琼幺儿.png
怪物,1,公鸡,1,普通,1600×1600,02_怪物单图/第1章/01_公鸡_普通.png
怪物,2,山羊,1,普通,1600×1600,02_怪物单图/第1章/02_山羊_普通.png
怪物,3,黄鼬,1,普通,1600×1600,02_怪物单图/第1章/03_黄鼬_普通.png
怪物,4,狸猫,1,普通,1600×1600,02_怪物单图/第1章/04_狸猫_普通.png
怪物,5,铁羽斗鸡,1,精英,1600×1600,02_怪物单图/第1章/05_铁羽斗鸡_精英.png
怪物,6,青角羊王,1,精英,1600×1600,02_怪物单图/第1章/06_青角羊王_精英.png
怪物,7,金钱鼠,1,首领,1600×1600,02_怪物单图/第1章/07_金钱鼠_首领.png
怪物,8,灰狼,2,普通,1600×1600,02_怪物单图/第2章/08_灰狼_普通.png
怪物,9,野猪,2,普通,1600×1600,02_怪物单图/第2章/09_野猪_普通.png
怪物,10,猕猴,2,普通,1600×1600,02_怪物单图/第2章/10_猕猴_普通.png
怪物,11,豪猪,2,普通,1600×1600,02_怪物单图/第2章/11_豪猪_普通.png
怪物,12,苍鬃狼王,2,精英,1600×1600,02_怪物单图/第2章/12_苍鬃狼王_精英.png
怪物,13,赤獠猪王,2,精英,1600×1600,02_怪物单图/第2章/13_赤獠猪王_精英.png
怪物,14,黑熊,2,首领,1600×1600,02_怪物单图/第2章/14_黑熊_首领.png
怪物,15,毒蛇,3,普通,1600×1600,02_怪物单图/第3章/15_毒蛇_普通.png
怪物,16,山猫,3,普通,1600×1600,02_怪物单图/第3章/16_山猫_普通.png
怪物,17,秃鹫,3,普通,1600×1600,02_怪物单图/第3章/17_秃鹫_普通.png
怪物,18,巨蟾,3,普通,1600×1600,02_怪物单图/第3章/18_巨蟾_普通.png
怪物,19,白猿,3,精英,1600×1600,02_怪物单图/第3章/19_白猿_精英.png
怪物,20,盘角鹿,3,精英,1600×1600,02_怪物单图/第3章/20_盘角鹿_精英.png
怪物,21,老虎,3,首领,1600×1600,02_怪物单图/第3章/21_老虎_首领.png
