讨论稿类别,稳定ID或职业模板,显示名,基础火抗%,基础冰抗%,基础雷抗%
角色,Hero,主角,10,10,10
角色,Role.Blade,刀客伙伴,10,5,10
角色,Role.Guard,守卫伙伴,10,10,10
角色,Role.Healer,医师伙伴,15,15,10
角色,Role.Hunter,猎人伙伴,5,10,5
角色,Role.Sorcerer,术士伙伴,20,20,20
角色,Role.FormationMaster,阵师伙伴,15,15,15
角色,Npc.TusiChief,土司首领,15,10,5
角色,Npc.SongJinBao,宋金宝,10,5,10
角色,Npc.YueBai,幽白,25,25,5
角色,Npc.ZhouGuangZu,周光祖,5,15,10
角色,Npc.JinGui,金贵,15,10,15
角色,Npc.QiongMeiEr,琼幺儿,15,20,10
怪物,Enemy.Ch1.Rooster,公鸡,5,0,0
怪物,Enemy.Ch1.Goat,山羊,0,10,0
怪物,Enemy.Ch1.Weasel,黄鼬,0,5,10
怪物,Enemy.Ch1.Civet,狸猫,0,0,10
怪物,Enemy.Ch1.IronfeatherRooster,铁羽斗鸡,35,-10,10
怪物,Enemy.Ch1.BluehornGoatKing,青角羊王,30,0,-10
怪物,Enemy.Ch1.MoneyRat,金钱鼠,20,25,10
怪物,Enemy.Ch2.GrayWolf,灰狼,0,15,0
怪物,Enemy.Ch2.Boar,野猪,5,5,-5
怪物,Enemy.Ch2.Macaque,猕猴,0,0,10
怪物,Enemy.Ch2.Porcupine,豪猪,10,0,-10
怪物,Enemy.Ch2.GraymaneWolfKing,苍鬃狼王,10,30,-10
怪物,Enemy.Ch2.RedtuskBoarKing,赤獠猪王,40,-10,10
怪物,Enemy.Ch2.BlackBear,黑熊,10,30,20
怪物,Enemy.Ch3.VenomSnake,毒蛇,10,-10,10
怪物,Enemy.Ch3.Wildcat,山猫,0,5,15
怪物,Enemy.Ch3.Vulture,秃鹫,30,-10,0
怪物,Enemy.Ch3.GiantToad,巨蟾,5,20,-10
怪物,Enemy.Ch3.WhiteApe,白猿,-10,40,10
怪物,Enemy.Ch3.SpiralHornDeer,盘角鹿,10,0,40
怪物,Enemy.Ch3.Tiger,老虎,25,10,20
