序号,文件,解压字节,解压MiB,压缩后字节,压缩后MiB,占下载%
1,Windows/GameXXK/Content/Paks/GameXXK-Windows.ucas,295676864,281.98,286262750,273.0,71.42
2,Windows/GameXXK/Binaries/Win64/GameXXKDev-Win64-Shipping.exe,171503104,163.56,68422284,65.25,17.07
3,Windows/GameXXK/Content/Paks/GameXXK-Windows.pak,35252091,33.62,33891202,32.32,8.46
4,Windows/Engine/Binaries/ThirdParty/NVIDIA/NVaftermath/Win64/GFSDK_Aftermath_Lib.x64.dll,5799016,5.53,2152461,2.05,0.54
5,Windows/GameXXK/Binaries/Win64/D3D12/x64/d3d12SDKLayers.dll,4943344,4.71,1976512,1.88,0.49
6,Windows/GameXXK/Binaries/Win64/D3D12/x64/D3D12Core.dll,4831768,4.61,1848673,1.76,0.46
7,Windows/GameXXK/Content/Paks/global.ucas,3474352,3.31,1365666,1.3,0.34
8,Windows/Engine/Binaries/ThirdParty/MsQuic/v220/win64/msquic.dll,2547080,2.43,1249581,1.19,0.31
9,Windows/Engine/Binaries/ThirdParty/DbgHelp/dbghelp.dll,2232688,2.13,983881,0.94,0.25
10,Windows/GameXXK/Content/Paks/GameXXK-Windows.utoc,1096938,1.05,526898,0.5,0.13
11,Windows/Engine/Binaries/ThirdParty/Windows/XAudio2_9/x64/xaudio2_9redist.dll,858152,0.82,431167,0.41,0.11
12,GameXXK.exe,315392,0.3,252305,0.24,0.06
13,Windows/Engine/Binaries/ThirdParty/Vorbis/Win64/VS2015/libvorbis_64.dll,1724856,1.64,248489,0.24,0.06
14,Windows/GameXXK/Binaries/Win64/msvcp140.dll,564240,0.54,190915,0.18,0.05
15,Windows/GameXXK/Binaries/Win64/concrt140.dll,332392,0.32,150680,0.14,0.04
16,Windows/Engine/Content/Renderer/TessellationTable.bin,259568,0.25,124048,0.12,0.03
17,Windows/GameXXK/Binaries/Win64/vccorlib140.dll,361568,0.34,120209,0.11,0.03
18,Windows/GameXXK/Binaries/Win64/msvcp140_2.dll,289296,0.28,118321,0.11,0.03
19,Windows/GameXXK/Binaries/Win64/tbb12.dll,342456,0.33,108161,0.1,0.03
20,Windows/GameXXK/Binaries/Win64/vcruntime140.dll,134168,0.13,67731,0.06,0.02
21,Windows/Manifest_UFSFiles_Win64.txt,1171180,1.12,59451,0.06,0.01
22,Windows/GameXXK/Binaries/Win64/tbbmalloc.dll,117176,0.11,53926,0.05,0.01
23,Windows/GameXXK/Binaries/Win64/msvcp140_atomic_wait.dll,59496,0.06,32942,0.03,0.01
24,Windows/GameXXK/Binaries/Win64/vcruntime140_1.dll,57960,0.06,32940,0.03,0.01
25,Windows/GameXXK/Binaries/Win64/vcruntime140_threads.dll,48144,0.05,27350,0.03,0.01
26,Windows/Engine/Binaries/ThirdParty/Vorbis/Win64/VS2015/libvorbisfile_64.dll,48568,0.05,26969,0.03,0.01
27,Windows/GameXXK/Binaries/Win64/msvcp140_1.dll,46184,0.04,25356,0.02,0.01
28,Windows/GameXXK/Binaries/Win64/msvcp140_codecvt_ids.dll,42088,0.04,22449,0.02,0.01
29,Windows/Engine/Binaries/ThirdParty/Ogg/Win64/VS2015/libogg_64.dll,59832,0.06,21568,0.02,0.01
30,DevTools/README.md,8209,0.01,4246,0.0,0.0
31,DevTools/gamexxk_dev_client.py,9779,0.01,3050,0.0,0.0
32,README.txt,1292,0.0,925,0.0,0.0
33,Windows/Manifest_NonUFSFiles_Win64.txt,1933,0.0,542,0.0,0.0
34,Windows/GameXXK/Content/Paks/global.utoc,842,0.0,218,0.0,0.0
35,Windows/NOTICES.txt,111,0.0,101,0.0,0.0
36,Windows/Engine/Content/Slate/Cursor/invisible.cur,326,0.0,56,0.0,0.0
37,Windows/Engine/Config/StagedBuild_GameXXK.ini,3,0.0,5,0.0,0.0
,合计,534212456,509.46,400804028,382.24,100.0
