二级目录,文件数,字节,MB,占.ucas%
GameXXK/UI,638,128077920,122.14,43.74
GameXXK/BattleAnimations,4250,74162582,70.73,25.33
<ShaderCode>,1200,49709577,47.41,16.98
GameXXK/Sprites,30,12363878,11.79,4.22
GameXXK/Characters,1761,9108415,8.69,3.11
Engine/Plugins,235,3864094,3.69,1.32
GameXXK/Cinematics,4,3033152,2.89,1.04
GameXXK/Narrative,15,2510915,2.39,0.86
EngineMaterials/FastBlueNoise_vec2_128x128x64.uasset,1,2102219,2.0,0.72
1Game/Texture,41,1459264,1.39,0.5
EngineMaterials/Substrate,4,1329705,1.27,0.45
EngineMaterials/FastBlueNoise_scalar_128x128x64.uasset,1,1049117,1.0,0.36
VREditor/TransformGizmo,17,555185,0.53,0.19
EngineMaterials/DefaultDiffuse.ubulk,1,449989,0.43,0.15
EngineMaterials/Hair,3,344236,0.33,0.12
EngineMaterials/DefaultBloomKernel.uasset,1,333121,0.32,0.11
<ContainerHeader>,1,269248,0.26,0.09
ShaderArchive-Global-PCD3D_SM6-PCD3D_SM6.ushaderbytecode,1,150496,0.14,0.05
GameXXK/Audio,44,145594,0.14,0.05
EngineMaterials/EnergyConservation,6,141186,0.13,0.05
EngineMaterials/FastBlueNoise_scalar_128x128x8.uasset,1,131741,0.13,0.04
ShaderArchive-Global-PCD3D_SM5-PCD3D_SM5.ushaderbytecode,1,118452,0.11,0.04
EngineMaterials/DefaultCalibrationGrayscale.uasset,1,108054,0.1,0.04
EditorMeshes/Camera,6,106549,0.1,0.04
EditorMaterials/Dataflow,5,106477,0.1,0.04
EngineMaterials/T_Default_Material_Grid_M.ubulk,1,93813,0.09,0.03
VREditor/Sounds,16,88819,0.08,0.03
VREditor/LaserPointer,2,84168,0.08,0.03
EngineFonts/RobotoDistanceField.uasset,1,42478,0.04,0.01
EngineMaterials/LTC,3,35978,0.03,0.01
EngineMaterials/SMAAAreaTex.uasset,1,35550,0.03,0.01
EditorResources/S_TriggerSphere.uasset,1,32692,0.03,0.01
EditorResources/S_Terrain.ubulk,1,32450,0.03,0.01
EngineMaterials/WorldGridMaterial.uasset,1,31211,0.03,0.01
1Game/UI,4,29522,0.03,0.01
ShaderArchive-GameXXK-PCD3D_SM6-PCD3D_SM6.ushaderbytecode,1,28628,0.03,0.01
ShaderArchive-GameXXK-PCD3D_SM5-PCD3D_SM5.ushaderbytecode,1,28300,0.03,0.01
EditorResources/SequenceRecorder,2,27807,0.03,0.01
EditorResources/S_TriggerCapsule.uasset,1,22913,0.02,0.01
Functions/Engine_MaterialFunctions02,26,22645,0.02,0.01
BasicShapes/Sphere.uasset,1,22458,0.02,0.01
MobileResources/HUD,3,19992,0.02,0.01
EditorResources/S_Trigger.ubulk,1,19247,0.02,0.01
EditorResources/S_TriggerBox.uasset,1,18976,0.02,0.01
EditorResources/S_Solver.ubulk,1,17735,0.02,0.01
EngineResources/FilmGrains,1,16280,0.02,0.01
EngineMaterials/PreintegratedSkinBRDF.uasset,1,14747,0.01,0.01
BasicShapes/Cylinder.uasset,1,12018,0.01,0.0
EngineMeshes/Sphere.uasset,1,11697,0.01,0.0
BasicShapes/Cone.uasset,1,10921,0.01,0.0
EngineMaterials/InvalidLightmapSettings.ubulk,1,9900,0.01,0.0
EngineResources/DefaultTextureCube.uasset,1,9163,0.01,0.0
1Game/Material,5,8460,0.01,0.0
EditorResources/S_Actor.ubulk,1,7829,0.01,0.0
EditorMaterials/ParticleSystems,4,7634,0.01,0.0
EngineMaterials/Grid.ubulk,1,6888,0.01,0.0
EditorResources/S_BoxReflectionCapture.uasset,1,6764,0.01,0.0
EngineMaterials/DefaultBokeh.uasset,1,6090,0.01,0.0
EngineResources/DefaultTexture.ubulk,1,5971,0.01,0.0
EditorResources/S_Actor.uasset,1,5492,0.01,0.0
1Game/Data,7,4949,0.0,0.0
EditorResources/S_Terrain.uasset,1,4769,0.0,0.0
EngineMaterials/BaseFlattenGrayscaleMap_VT.ubulk,1,4728,0.0,0.0
EngineMaterials/DefaultDeferredDecalMaterial.uasset,1,4677,0.0,0.0
EngineMaterials/DefaultLightFunctionMaterial.uasset,1,4567,0.0,0.0
EditorResources/S_Trigger.uasset,1,4487,0.0,0.0
EngineMaterials/Good64x64TilingNoiseHighFreq.uasset,1,4428,0.0,0.0
VREditor/SnapGrid,2,4185,0.0,0.0
EditorResources/S_Solver.uasset,1,3914,0.0,0.0
Functions/Engine_MaterialFunctions01,9,3851,0.0,0.0
EditorMaterials/PreviewShadowIndicatorMaterial.uasset,1,3759,0.0,0.0
EngineDebugMaterials/VolumeToRender.uasset,1,3526,0.0,0.0
EngineMaterials/DefaultPostProcessMaterial.uasset,1,3427,0.0,0.0
EngineMaterials/FlattenMaterial.uasset,1,3017,0.0,0.0
EditorLandscapeResources/LandscapeLayerUsageMaterial.uasset,1,2976,0.0,0.0
EngineMaterials/FlattenMaterial_WS_Normal_VT.uasset,1,2935,0.0,0.0
EngineMaterials/DefaultCalibrationColor.uasset,1,2935,0.0,0.0
EngineMaterials/FlattenMaterial_VT.uasset,1,2926,0.0,0.0
EngineResources/DefaultTexture.uasset,1,2825,0.0,0.0
EngineMaterials/DefaultMaterial.uasset,1,2816,0.0,0.0
EngineMaterials/T_Default_Material_Grid_M.uasset,1,2804,0.0,0.0
1Game/Control,1,2734,0.0,0.0
EngineDebugMaterials/M_VolumeRenderSphereTracePP.uasset,1,2681,0.0,0.0
EngineMaterials/BaseFlattenEmissiveMap_VT.ubulk,1,2645,0.0,0.0
EngineMaterials/BaseFlattenDiffuseMap_VT.ubulk,1,2645,0.0,0.0
EngineMaterials/EmissiveMeshMaterial.uasset,1,2614,0.0,0.0
EngineMaterials/Widget3DPassThrough_Masked_OneSided.uasset,1,2571,0.0,0.0
EngineMaterials/Widget3DPassThrough_Masked.uasset,1,2567,0.0,0.0
EngineMaterials/BaseFlattenLinearColor_VT.ubulk,1,2549,0.0,0.0
EngineMaterials/DefaultTextMaterialOpaque.uasset,1,2448,0.0,0.0
EngineMaterials/PhAT_JointLimitMaterial.uasset,1,2438,0.0,0.0
EditorMaterials/PreviewShadowIndicator.ubulk,1,2375,0.0,0.0
EngineMaterials/DefaultDiffuse.uasset,1,2343,0.0,0.0
EditorLandscapeResources/SplineEditorMeshMat.uasset,1,2336,0.0,0.0
EngineSounds/Submixes,5,2283,0.0,0.0
EngineMaterials/Widget3DPassThrough_Opaque.uasset,1,2254,0.0,0.0
EngineFonts/Faces,6,2246,0.0,0.0
EngineMaterials/Widget3DPassThrough_Translucent.uasset,1,2238,0.0,0.0
EngineMaterials/NaniteHiddenSectionMaterial.uasset,1,2237,0.0,0.0
EditorMaterials/Camera,2,2210,0.0,0.0
EditorLandscapeResources/SelectBrushMaterial.uasset,1,2208,0.0,0.0
EngineResources/Development,1,2208,0.0,0.0
EditorLandscapeResources/MaskBrushMaterial.uasset,1,2184,0.0,0.0
EngineDebugMaterials/DebugEditorMaterial.uasset,1,2147,0.0,0.0
EditorLandscapeResources/LandscapeDirtyMaterial.uasset,1,2115,0.0,0.0
ArtTools/RenderToTexture,2,2090,0.0,0.0
EngineMaterials/GizmoMaterial.uasset,1,2075,0.0,0.0
Functions/Engine_MaterialFunctions03,5,2041,0.0,0.0
EngineMaterials/Widget3DPassThrough.uasset,1,2040,0.0,0.0
EngineDebugMaterials/DebugMeshMaterial.uasset,1,2024,0.0,0.0
EditorLandscapeResources/ColorMaskBrushMaterial.uasset,1,1977,0.0,0.0
EditorLandscapeResources/SelectBrushMaterial_SelectedRegion.uasset,1,1973,0.0,0.0
EditorMaterials/WidgetVertexColorMaterial.uasset,1,1969,0.0,0.0
EngineMaterials/Widget3DPassThrough_Translucent_OneSided.uasset,1,1952,0.0,0.0
EditorLandscapeResources/MaskBrushMaterial_MaskedRegion.uasset,1,1950,0.0,0.0
BasicShapes/Cube.uasset,1,1862,0.0,0.0
EngineMaterials/PPM_DefaultCalibrationGrayscale.uasset,1,1850,0.0,0.0
EngineMaterials/PPM_DefaultCalibrationColor.uasset,1,1846,0.0,0.0
EditorLandscapeResources/LayerVisMaterial.uasset,1,1827,0.0,0.0
EngineDebugMaterials/M_SimpleUnlitTranslucent.uasset,1,1724,0.0,0.0
EditorMaterials/PhAT_UnselectedMaterial.uasset,1,1720,0.0,0.0
EditorMaterials/PhAT_NoCollisionMaterial.uasset,1,1719,0.0,0.0
BasicShapes/BasicShapeMaterial.uasset,1,1687,0.0,0.0
EngineMaterials/Widget3DPassThrough_Opaque_OneSided.uasset,1,1640,0.0,0.0
EngineMaterials/M_InvalidLightmapSettings.uasset,1,1481,0.0,0.0
EngineMaterials/RemoveSurfaceMaterial.uasset,1,1360,0.0,0.0
EditorLandscapeResources/SplineEditorMesh.uasset,1,1247,0.0,0.0
EngineMaterials/InvalidLightmapSettings.uasset,1,1233,0.0,0.0
EngineMaterials/Grid.uasset,1,1176,0.0,0.0
EngineMaterials/T_Default_Material_Grid_N.ubulk,1,1176,0.0,0.0
BasicShapes/Plane.uasset,1,1003,0.0,0.0
EngineMaterials/HairColorMap.uasset,1,997,0.0,0.0
EngineMaterials/HairDebugColor.uasset,1,971,0.0,0.0
Maps/Entry.umap,1,968,0.0,0.0
GameXXK/Maps,1,956,0.0,0.0
EngineMaterials/Black_1x1_EXR_Texture_VT.uasset,1,955,0.0,0.0
EngineMaterials/BaseFlattenLinearColor_VT.uasset,1,944,0.0,0.0
EngineMaterials/BaseFlattenGrayscaleMap_VT.uasset,1,943,0.0,0.0
EngineMaterials/BaseFlattenEmissiveMap_VT.uasset,1,938,0.0,0.0
EngineMaterials/BaseFlattenNormalMap_VT.uasset,1,937,0.0,0.0
EngineMaterials/BaseFlattenDiffuseMap_VT.uasset,1,933,0.0,0.0
EditorMaterials/PreviewShadowIndicator.uasset,1,838,0.0,0.0
EngineMaterials/DefaultWhiteGrid.uasset,1,819,0.0,0.0
EngineMaterials/Black_1x1_EXR_Texture_VT.ubulk,1,818,0.0,0.0
EngineResources/DefaultVolumeTexture.uasset,1,772,0.0,0.0
EngineResources/GradientTexture0.uasset,1,765,0.0,0.0
EngineResources/DefaultVolumeTexture2D.uasset,1,723,0.0,0.0
EngineMaterials/T_Default_Material_Grid_N.uasset,1,708,0.0,0.0
EngineMaterials/SMAASearchTex.uasset,1,690,0.0,0.0
EngineMaterials/BaseFlattenDiffuseMap.uasset,1,687,0.0,0.0
EngineMaterials/BaseFlattenGrayscaleMap.uasset,1,680,0.0,0.0
EngineDamageTypes/DmgTypeBP_Environmental.uasset,1,679,0.0,0.0
EngineMaterials/BaseFlattenLinearColor.uasset,1,677,0.0,0.0
EngineMaterials/BaseFlattenEmissiveMap.uasset,1,677,0.0,0.0
EngineMaterials/MiniFont.uasset,1,672,0.0,0.0
EditorLandscapeResources/ColorMaskBrushMaterial_MaskedRegion.uasset,1,616,0.0,0.0
EngineMaterials/WeightMapPlaceholderTexture.uasset,1,606,0.0,0.0
EngineMaterials/BlendFunc_DefBase.uasset,1,581,0.0,0.0
EditorLandscapeResources/SelectBrushMaterial_Selected.uasset,1,572,0.0,0.0
EngineFonts/Roboto.uasset,1,561,0.0,0.0
EditorResources/BSPVertex.uasset,1,558,0.0,0.0
EngineMaterials/WeightMapArrayPlaceholderTexture.uasset,1,556,0.0,0.0
EngineMaterials/BlendFunc_DefBlend.uasset,1,547,0.0,0.0
EngineMaterials/BaseFlattenNormalMap.uasset,1,535,0.0,0.0
EngineMaterials/DefaultWhiteGrid_Low.uasset,1,526,0.0,0.0
Animation/DefaultRecorderBoneCompression.uasset,1,520,0.0,0.0
EngineResources/Black_Low.uasset,1,502,0.0,0.0
EditorLandscapeResources/DefaultAlphaTexture.uasset,1,478,0.0,0.0
Functions/Substrate,1,414,0.0,0.0
EditorLandscapeResources/WhiteSquareTexture.uasset,1,394,0.0,0.0
Maps/Entry_BuiltData.uasset,1,386,0.0,0.0
EngineResources/LandscapeVisibilityLayerInfo.uasset,1,382,0.0,0.0
EngineMaterials/DefaultDestructiblePhysicalMaterial.uasset,1,372,0.0,0.0
EngineResources/WhiteSquareTexture.uasset,1,366,0.0,0.0
EngineResources/Black.uasset,1,351,0.0,0.0
Animation/DefaultVariableFrameStrippingSettings.uasset,1,350,0.0,0.0
EditorMaterials/TilingAALineBoxFiltered.uasset,1,342,0.0,0.0
EngineMaterials/DefaultPhysicalMaterial.uasset,1,342,0.0,0.0
EditorMaterials/TilingAALineIntegral.uasset,1,334,0.0,0.0
EditorMaterials/TilingAAGrid.uasset,1,318,0.0,0.0
EngineSounds/Master.uasset,1,297,0.0,0.0
EngineMaterials/DefaultWhiteGrid.ubulk,1,153,0.0,0.0
EngineMaterials/BaseFlattenNormalMap_VT.ubulk,1,133,0.0,0.0
