三级目录,文件数,字节,MB,占.ucas%
GameXXK/BattleAnimations/Atlases,98,69645322,66.42,23.78
<ShaderCode>,1200,49709577,47.41,16.98
GameXXK/UI/StoryNodes,62,44674378,42.6,15.26
GameXXK/UI/Battle,97,28347427,27.03,9.68
GameXXK/UI/Town,93,13316117,12.7,4.55
GameXXK/Sprites/Generated,30,12363878,11.79,4.22
GameXXK/UI/Items,56,6568603,6.26,2.24
GameXXK/Characters/Hero,662,5912935,5.64,2.02
GameXXK/UI/Relics,46,5065576,4.83,1.73
GameXXK/UI/MasterV2,53,4233008,4.04,1.45
GameXXK/UI/Equipment,36,4060905,3.87,1.39
GameXXK/UI/QuestDialog,3,3681436,3.51,1.26
GameXXK/UI/Maps,6,3294404,3.14,1.13
GameXXK/Cinematics/Prologue,4,3033152,2.89,1.04
GameXXK/BattleAnimations/IdleSprites,4080,2687048,2.56,0.92
GameXXK/UI/MainMenu,2,2541149,2.42,0.87
GameXXK/Narrative/Items,1,2498720,2.38,0.85
Engine/Plugins/Interchange,110,2381832,2.27,0.81
GameXXK/UI/Inventory,18,2277124,2.17,0.78
EngineMaterials/FastBlueNoise_vec2_128x128x64.uasset,1,2102219,2.0,0.72
GameXXK/UI/Tasks,13,1889075,1.8,0.65
GameXXK/BattleAnimations/GemstylePilot,4,1743580,1.66,0.6
GameXXK/Characters/BattleAnimationPilot,62,1721927,1.64,0.59
GameXXK/UI/RouteMap,6,1573532,1.5,0.54
GameXXK/UI/StoryPortraits,12,1512920,1.44,0.52
GameXXK/UI/PartyDeck,19,1062527,1.01,0.36
EngineMaterials/FastBlueNoise_scalar_128x128x64.uasset,1,1049117,1.0,0.36
EngineMaterials/Substrate/Glints2,1,812943,0.78,0.28
Engine/Plugins/Animation,65,807243,0.77,0.28
GameXXK/UI/Talents,11,793580,0.76,0.27
GameXXK/UI/Training,10,767693,0.73,0.26
GameXXK/UI/RouteCamp,1,645038,0.62,0.22
GameXXK/UI/StarterEquipment,6,637567,0.61,0.22
Engine/Plugins/Editor,13,561675,0.54,0.19
GameXXK/UI/ImageTruth,8,527850,0.5,0.18
EngineMaterials/Substrate/GLints,1,504049,0.48,0.17
VREditor/TransformGizmo/TransformGizmoFreeRotation.uasset,1,501923,0.48,0.17
GameXXK/Characters/Enemies,15,458711,0.44,0.16
GameXXK/Characters/Follower,85,456454,0.44,0.16
EngineMaterials/DefaultDiffuse.ubulk,1,449989,0.43,0.15
1Game/Texture/??_1.uasset,1,422084,0.4,0.14
EngineMaterials/DefaultBloomKernel.uasset,1,333121,0.32,0.11
<ContainerHeader>,1,269248,0.26,0.09
GameXXK/UI/DesktopOverlay,3,260465,0.25,0.09
1Game/Texture/??.uasset,6,253421,0.24,0.09
GameXXK/Characters/PartyDeckPartners,432,248082,0.24,0.08
GameXXK/Characters/PartyDeckNPC,432,244155,0.23,0.08
EngineMaterials/Hair/Hair_DirectionalAlbedo.uasset,1,208033,0.2,0.07
GameXXK/UI/Cards,1,186549,0.18,0.06
ShaderArchive-Global-PCD3D_SM6-PCD3D_SM6.ushaderbytecode,1,150496,0.14,0.05
1Game/Texture/??.ubulk,4,148151,0.14,0.05
GameXXK/Audio/SFX,44,145594,0.14,0.05
1Game/Texture/???.uasset,3,144652,0.14,0.05
EngineMaterials/Hair/Hair_DualScattering.uasset,1,134032,0.13,0.05
EngineMaterials/FastBlueNoise_scalar_128x128x8.uasset,1,131741,0.13,0.04
EngineMaterials/EnergyConservation/GGX_TransmissionEnergyArray.uasset,1,125207,0.12,0.04
ShaderArchive-Global-PCD3D_SM5-PCD3D_SM5.ushaderbytecode,1,118452,0.11,0.04
1Game/Texture/??1.ubulk,4,117439,0.11,0.04
1Game/Texture/????.uasset,5,114252,0.11,0.04
EngineMaterials/DefaultCalibrationGrayscale.uasset,1,108054,0.1,0.04
EditorMaterials/Dataflow/T_CheckerBoard.uasset,1,96042,0.09,0.03
EngineMaterials/T_Default_Material_Grid_M.ubulk,1,93813,0.09,0.03
VREditor/Sounds/UI,16,88819,0.08,0.03
GameXXK/BattleAnimations/IdleFlipbooks,68,86632,0.08,0.03
VREditor/LaserPointer/VR_LaserPower_01.ubulk,1,81262,0.08,0.03
Engine/Plugins/Experimental,30,77479,0.07,0.03
GameXXK/UI/Materials,68,73524,0.07,0.03
1Game/Texture/???.ubulk,2,67696,0.06,0.02
GameXXK/Characters/Merchant,73,66151,0.06,0.02
GameXXK/UI/MetaShop,1,63975,0.06,0.02
1Game/Texture/????.ubulk,4,61906,0.06,0.02
EngineFonts/RobotoDistanceField.uasset,1,42478,0.04,0.01
EditorMeshes/Camera/SM_RailRig_Mount.uasset,1,35773,0.03,0.01
EngineMaterials/SMAAAreaTex.uasset,1,35550,0.03,0.01
EditorResources/S_TriggerSphere.uasset,1,32692,0.03,0.01
EditorResources/S_Terrain.ubulk,1,32450,0.03,0.01
EngineMaterials/WorldGridMaterial.uasset,1,31211,0.03,0.01
1Game/Texture/???1.ubulk,1,29034,0.03,0.01
ShaderArchive-GameXXK-PCD3D_SM6-PCD3D_SM6.ushaderbytecode,1,28628,0.03,0.01
ShaderArchive-GameXXK-PCD3D_SM5-PCD3D_SM5.ushaderbytecode,1,28300,0.03,0.01
1Game/Texture/?.ubulk,1,28213,0.03,0.01
EditorResources/SequenceRecorder/Countdown.uasset,1,27283,0.03,0.01
1Game/Texture/?1.ubulk,1,26468,0.03,0.01
1Game/Texture/?????.ubulk,1,25986,0.02,0.01
EditorMeshes/Camera/SM_CraneRig_Base.uasset,1,22969,0.02,0.01
EditorResources/S_TriggerCapsule.uasset,1,22913,0.02,0.01
BasicShapes/Sphere.uasset,1,22458,0.02,0.01
Engine/Plugins/Runtime,6,22079,0.02,0.01
EngineMaterials/LTC/GGX_LTCMat.uasset,1,21437,0.02,0.01
EditorMeshes/Camera/SM_CraneRig_Body.uasset,1,20947,0.02,0.01
GameXXK/UI/Controls,1,20448,0.02,0.01
EditorMeshes/Camera/SM_RailRig_Track.uasset,1,19382,0.02,0.01
EditorResources/S_Trigger.ubulk,1,19247,0.02,0.01
EditorResources/S_TriggerBox.uasset,1,18976,0.02,0.01
EditorResources/S_Solver.ubulk,1,17735,0.02,0.01
1Game/UI/UI_????.uasset,1,17215,0.02,0.01
EngineResources/FilmGrains/Marcie_Grain_v3_128_M2_000.uasset,1,16280,0.02,0.01
MobileResources/HUD/VirtualJoystick_Background.uasset,1,15884,0.02,0.01
EngineMaterials/PreintegratedSkinBRDF.uasset,1,14747,0.01,0.01
VREditor/TransformGizmo/RotationHandleFull.uasset,1,12980,0.01,0.0
EngineMaterials/Substrate/Volume,2,12713,0.01,0.0
BasicShapes/Cylinder.uasset,1,12018,0.01,0.0
Engine/Plugins/2D,7,11829,0.01,0.0
EngineMeshes/Sphere.uasset,1,11697,0.01,0.0
Functions/Engine_MaterialFunctions02/ExampleContent,1,11232,0.01,0.0
BasicShapes/Cone.uasset,1,10921,0.01,0.0
EngineMaterials/InvalidLightmapSettings.ubulk,1,9900,0.01,0.0
EngineMaterials/LTC/GGX_LTCAmp.uasset,1,9728,0.01,0.0
1Game/Texture/??1.uasset,4,9615,0.01,0.0
EngineResources/DefaultTextureCube.uasset,1,9163,0.01,0.0
1Game/Material/UI,5,8460,0.01,0.0
EditorResources/S_Actor.ubulk,1,7829,0.01,0.0
GameXXK/Narrative/Guides,9,7140,0.01,0.0
EngineMaterials/Grid.ubulk,1,6888,0.01,0.0
EditorResources/S_BoxReflectionCapture.uasset,1,6764,0.01,0.0
1Game/UI/UI_????-??.uasset,1,6703,0.01,0.0
EngineMaterials/DefaultBokeh.uasset,1,6090,0.01,0.0
EngineMaterials/EnergyConservation/GGX_MaxSpecEnergy.uasset,1,6011,0.01,0.0
VREditor/TransformGizmo/RotationHandleQuarter.uasset,1,6001,0.01,0.0
EngineResources/DefaultTexture.ubulk,1,5971,0.01,0.0
EditorMeshes/Camera/SM_CraneRig_Mount.uasset,1,5926,0.01,0.0
EditorResources/S_Actor.uasset,1,5492,0.01,0.0
VREditor/TransformGizmo/StartRotationHandleIndicator.uasset,1,4920,0.0,0.0
EngineMaterials/LTC/Sheen_LTC.uasset,1,4813,0.0,0.0
EditorResources/S_Terrain.uasset,1,4769,0.0,0.0
