UE资产路径,容器原始路径,字节,KB,MB,类别,扩展名
/Game/GameXXK/Narrative/Items/T_Tutorial_XuXiakeTravelRouteInspect.uasset,../../../GameXXK/Content/GameXXK/Narrative/Items/T_Tutorial_XuXiakeTravelRouteInspect.uasset,2498720,2440.2,2.383,剧情物品,.uasset
/Engine/Plugins/Interchange/Assets/Content/Utilities/New_LUT.uasset,../../../Engine/Plugins/Interchange/Assets/Content/Utilities/New_LUT.uasset,2186420,2135.2,2.085,引擎自带资源,.uasset
/Engine/Content/EngineMaterials/FastBlueNoise_vec2_128x128x64.uasset,../../../Engine/Content/EngineMaterials/FastBlueNoise_vec2_128x128x64.uasset,2102219,2052.9,2.005,引擎自带资源,.uasset
/Game/GameXXK/UI/MainMenu/Textures/T_MainMenuCover.uasset,../../../GameXXK/Content/GameXXK/UI/MainMenu/Textures/T_MainMenuCover.uasset,1949143,1903.5,1.859,其他UI,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_17_whiteape_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_17_whiteape_2k_idle_atlas.uasset,1779951,1738.2,1.697,战斗动画图集,.uasset
/Game/GameXXK/Characters/BattleAnimationPilot/Hero/Idle/Textures/T_Pilot_Hero_Idle_Atlas.uasset,../../../GameXXK/Content/GameXXK/Characters/BattleAnimationPilot/Hero/Idle/Textures/T_Pilot_Hero_Idle_Atlas.uasset,1686905,1647.4,1.609,角色/精灵图,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_20_blackbear_boss_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_20_blackbear_boss_2k_idle_atlas.uasset,1673317,1634.1,1.596,战斗动画图集,.uasset
/Game/GameXXK/UI/Town/Textures/PSD/Backgrounds/T_TownPsd_Background_Character.uasset,../../../GameXXK/Content/GameXXK/UI/Town/Textures/PSD/Backgrounds/T_TownPsd_Background_Character.uasset,1659762,1620.9,1.583,城镇UI,.uasset
/Game/GameXXK/UI/Town/Textures/PSD/Backgrounds/T_TownPsd_Background_Companion.uasset,../../../GameXXK/Content/GameXXK/UI/Town/Textures/PSD/Backgrounds/T_TownPsd_Background_Companion.uasset,1637186,1598.8,1.561,城镇UI,.uasset
/Game/GameXXK/Sprites/Generated/follower_blue_scholar_walk_8dir_expanded.uasset,../../../GameXXK/Content/GameXXK/Sprites/Generated/follower_blue_scholar_walk_8dir_expanded.uasset,1592060,1554.7,1.518,角色/精灵图,.uasset
/Game/GameXXK/Sprites/Generated/merchant_teal_robed_walk_8dir_expanded.uasset,../../../GameXXK/Content/GameXXK/Sprites/Generated/merchant_teal_robed_walk_8dir_expanded.uasset,1589910,1552.6,1.516,角色/精灵图,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_02_goat_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_02_goat_2k_idle_atlas.uasset,1577755,1540.8,1.505,战斗动画图集,.uasset
/Game/GameXXK/Sprites/Generated/hero_deepblue_high_ponytail_walk_8dir_expanded.uasset,../../../GameXXK/Content/GameXXK/Sprites/Generated/hero_deepblue_high_ponytail_walk_8dir_expanded.uasset,1553171,1516.8,1.481,角色/精灵图,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_06_bluehorn_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_06_bluehorn_2k_idle_atlas.uasset,1539744,1503.7,1.468,战斗动画图集,.uasset
/Game/GameXXK/UI/Town/Textures/PSD/Backgrounds/T_TownPsd_Background_Hud.uasset,../../../GameXXK/Content/GameXXK/UI/Town/Textures/PSD/Backgrounds/T_TownPsd_Background_Hud.uasset,1539308,1503.2,1.468,城镇UI,.uasset
/Game/GameXXK/UI/Maps/Textures/WorldMap/T_WorldMap_Terrain.uasset,../../../GameXXK/Content/GameXXK/UI/Maps/Textures/WorldMap/T_WorldMap_Terrain.uasset,1531809,1495.9,1.461,其他UI,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_10_zhou_guang_zu_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_10_zhou_guang_zu_2k_idle_atlas.uasset,1524832,1489.1,1.454,战斗动画图集,.uasset
/Game/GameXXK/UI/MasterV2/Approved/T_MasterV2_MainMenuBackground.uasset,../../../GameXXK/Content/GameXXK/UI/MasterV2/Approved/T_MasterV2_MainMenuBackground.uasset,1464961,1430.6,1.397,其他UI,.uasset
/Game/GameXXK/Cinematics/Prologue/Atlases/T_cinematic_horse_idle_2k_atlas.uasset,../../../GameXXK/Content/GameXXK/Cinematics/Prologue/Atlases/T_cinematic_horse_idle_2k_atlas.uasset,1456397,1422.3,1.389,过场,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_10_porcupine_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_10_porcupine_2k_idle_atlas.uasset,1451427,1417.4,1.384,战斗动画图集,.uasset
/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Cave_GeneratedV2.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/Textures/T_BattleArena_Cave_GeneratedV2.uasset,1440689,1406.9,1.374,战斗UI/特效,.uasset
/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Plain_GeneratedV2.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/Textures/T_BattleArena_Plain_GeneratedV2.uasset,1420736,1387.4,1.355,战斗UI/特效,.uasset
