资产名,容器路径,字节,KB
T_TownPsd_CompanionCardFrame,../../../GameXXK/Content/GameXXK/UI/Town/Textures/PSD/Companion/T_TownPsd_CompanionCardFrame.uasset,188856,184.4
T_MasterV2_CardFrame,../../../GameXXK/Content/GameXXK/UI/MasterV2/Approved/T_MasterV2_CardFrame.uasset,188706,184.3
T_CardFrame_PSD057,../../../GameXXK/Content/GameXXK/UI/Cards/Textures/T_CardFrame_PSD057.uasset,186549,182.2
T_CardPortrait_Npc_ZhouGuangZu,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Npc_ZhouGuangZu.uasset,76322,74.5
T_CardPortrait_Npc_TusiChief,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Npc_TusiChief.uasset,66745,65.2
T_CardPortrait_Enemy_Ch1_MoneyRatBoss,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch1_MoneyRatBoss.uasset,63274,61.8
T_CardPortrait_Role_Guard,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Role_Guard.uasset,59786,58.4
T_CardPortrait_Route_Boss,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Route_Boss.uasset,55751,54.4
T_CardPortrait_Role_Healer,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Role_Healer.uasset,55509,54.2
T_CardPortrait_Enemy_Ch3_WhiteApe,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch3_WhiteApe.uasset,51543,50.3
T_CardPortrait_Enemy_Ch3_TigerBoss,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch3_TigerBoss.uasset,49149,48.0
T_CardPortrait_Role_FormationMaster,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Role_FormationMaster.uasset,46832,45.7
T_CardPortrait_Enemy_Ch1_BluehornGoatKing,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch1_BluehornGoatKing.uasset,46452,45.4
T_CardPortrait_Enemy_Ch2_BlackBearBoss,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch2_BlackBearBoss.uasset,46311,45.2
T_CardPortrait_Enemy_Ch3_VenomSnake,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch3_VenomSnake.uasset,46166,45.1
T_CardPortrait_Enemy_Ch1_IronfeatherRooster,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch1_IronfeatherRooster.uasset,46119,45.0
T_CardPortrait_Enemy_Ch2_Macaque,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch2_Macaque.uasset,46090,45.0
T_CardPortrait_Enemy_Ch2_Porcupine,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch2_Porcupine.uasset,45666,44.6
T_CardPortrait_Enemy_Ch1_Civet,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch1_Civet.uasset,45454,44.4
